Id,Label,fonction,cluster
aves_aa_4R_auth_0107,"lorer, johanns",personne,
aves_aa_4R_auth_0108,"menniger, johanns",personne,
aves_aa_4R_auth_0109,"kacheler, johanns",personne,
aves_aa_4R_auth_0110,"mönchelin, johanns",personne,
aves_aa_4R_auth_0111,"oberkirch, von, lauwel",personne,
aves_aa_4R_auth_0112,"pfau, johanns",personne,2.0
aves_aa_4R_auth_0113,"berner, johanns",personne,
aves_aa_4R_auth_0114,"albrecht, johanns, schintbrücke, an der",personne,
aves_aa_4R_auth_0115,"messinger, heintz",personne,
aves_aa_4R_auth_0116,"girbaden, hensel",personne,
aves_aa_4R_auth_0117,"kistner, reinhart, bruch, im",personne,
aves_aa_4R_auth_0118,"willgottheim, claus",personne,
aves_aa_4R_auth_0119,"rottweil, von, erhart",personne,
aves_aa_4R_auth_0120,"hagenau, von, wernher",personne,
aves_aa_4R_auth_0121,"schanlit, walther",personne,
aves_aa_4R_auth_0122,"weissgerber, fritsch",personne,
aves_aa_4R_auth_0123,"wormser, claus",personne,
aves_aa_4R_auth_0124,"hagenau, von, erhart",personne,
aves_aa_4R_auth_0125,"stegemann, eberhart",personne,
aves_aa_4R_auth_0126,"hechde, claus",personne,
aves_aa_4R_auth_0127,"arge, claus",personne,
aves_aa_4R_auth_0128,"melbrühe, claus",personne,
aves_aa_4R_auth_0129,"wintzler, peter",personne,
aves_aa_4R_auth_0130,"lamb, johanns",personne,2.0
aves_aa_4R_auth_0131,"messerer, claus",personne,
aves_aa_4R_auth_0132,"frei, uhlmann",personne,
aves_aa_4R_auth_0133,"fritschmann, hug",personne,
aves_aa_4R_auth_0134,"riffe, peter",personne,4.0
aves_aa_4R_auth_0135,"gerter, küntz",personne,
aves_aa_4R_auth_0136,"schanlit, claus",personne,2.0
aves_aa_4R_auth_0137,"kraft, johanns",personne,
aves_aa_4R_auth_0138,"kindelin, mewus",personne,
aves_aa_4R_auth_0139,"überhang, zum, hermann",personne,
aves_aa_4R_auth_0140,"meiger, johanns",personne,
aves_aa_4R_auth_0141,"hagenau, von, götze",personne,4.0
aves_aa_4R_auth_0142,"lamb, heitz",personne,
aves_aa_4R_auth_0143,"seifenmacher, hug",personne,
aves_aa_4R_auth_0144,"grossstein, johanns",personne,
aves_aa_4R_auth_0145,"stollhofen, hensel",personne,
aves_aa_4R_auth_0146,"frei, johanns",personne,
aves_aa_4R_auth_0147,"gosse, peter",personne,
aves_aa_4R_auth_0148,"dürningen, von, johanns",personne,
aves_aa_4R_auth_0149,"leimer, heinrich",personne,
aves_aa_4R_auth_0150,"kücheler, peter",personne,
